,coef,std err,z,P>|z|,[0.025,0.975]
OtherCMsSameCoachNoMissing,-0.0285,0.032,-0.888,0.375,-0.091,0.034
RegPrefLevNoMissing,0.365,0.758,0.48200000000000004,0.63,-1.12,1.85
CMProspectRatingNoMissing,0.0497,0.129,0.387,0.6990000000000001,-0.20199999999999999,0.302
CorpsSizeNoMissing,-0.001,0.003,-0.32299999999999995,0.746,-0.006999999999999999,0.005
AgeAtFDOSNoMissing,0.0199,0.094,0.212,0.8320000000000001,-0.16399999999999998,0.204
OtherCMsPrevCoachNoMissing,0.0077,0.040999999999999995,0.188,0.851,-0.073,0.08800000000000001
YearsSchoolPartnerNoMissing,-0.019,0.111,-0.171,0.8640000000000001,-0.23600000000000002,0.198
CommAndPresNoMissing,-0.295,2.12,-0.139,0.889,-4.45,3.86
GenderMale,0.4394,3.234,0.136,0.892,-5.899,6.778
AvgRentNoMissing,-0.0023,0.018000000000000002,-0.128,0.898,-0.037000000000000005,0.033
CSI3NoMissing,-0.0471,0.36700000000000005,-0.128,0.898,-0.7659999999999999,0.672
SchoolSelectivityNoMissing,-0.0709,0.5539999999999999,-0.128,0.898,-1.157,1.015
FinalAchievementNoMissing,0.425,3.4360000000000004,0.124,0.902,-6.31,7.16
FRPLNoMissing,-0.2352,1.9509999999999998,-0.121,0.904,-4.058,3.588
YearsPartnerPartnerNoMissing,0.0715,0.595,0.12,0.904,-1.0959999999999999,1.238
RentPropNoMissing,5.7386,54.343999999999994,0.106,0.9159999999999999,-100.774,112.251
AvgFirstMonthSalNoMissing,0.0003,0.005,0.067,0.9470000000000001,-0.01,0.01
FirstYearsInSchoolNoMissing,-1.4562,24.026999999999997,-0.061,0.9520000000000001,-48.548,45.635
SecondYearsInSchoolNoMissing,-1.4535,24.14,-0.06,0.9520000000000001,-48.768,45.861000000000004
CMsInSchoolNoMissing,1.4509,24.046,0.06,0.9520000000000001,-45.678000000000004,48.58
CSI12NoMissing,-0.1249,2.162,-0.057999999999999996,0.9540000000000001,-4.361000000000001,4.112
RelationshipBuildingNoMissing,-0.2108,3.878,-0.054000000000000006,0.9570000000000001,-7.811,7.39
CLI8NoMissing,0.1099,2.2030000000000003,0.05,0.96,-4.208,4.428
YearsAsCoach,-0.0671,1.405,-0.048,0.9620000000000001,-2.821,2.687
CLI6NoMissing,-0.3486,7.557,-0.046,0.963,-15.161,14.464
CSI6NoMissing,-0.0696,1.656,-0.042,0.966,-3.315,3.175
DaysTSubmitNoMissing,-0.0018,0.042,-0.043,0.966,-0.084,0.08
CumuGPANoMissing,-0.1523,4.004,-0.038,0.97,-7.999,7.694
GenderFemale,0.1256,3.312,0.038,0.97,-6.365,6.617000000000001
CSI5NoMissing,-0.0317,1.483,-0.021,0.983,-2.9389999999999996,2.8760000000000003
PerseveranceNoMissing,-0.0269,1.8519999999999999,-0.015,0.988,-3.656,3.603
CertProgramCostNoMissing,6.774e-07,9.7e-05,0.006999999999999999,0.9940000000000001,-0.0,0.0
PredModelScoreNoMissing,-0.0418,30.863000000000003,-0.001,0.9990000000000001,-60.532,60.448
FitNoMissing,-0.0025,1.7,-0.001,0.9990000000000001,-3.335,3.33
School_Other,0.2532,162000000000000.0,1.56e-15,1.0,-318000000000000.0,318000000000000.0
School_Public,-0.1463,162000000000000.0,-9.019999999999999e-16,1.0,-318000000000000.0,318000000000000.0
School_Charter,0.2496,162000000000000.0,1.54e-15,1.0,-318000000000000.0,318000000000000.0
Grade_Unknown,-1.0937,177000000000000.0,-6.1700000000000005e-15,1.0,-348000000000000.0,348000000000000.0
Grade_LOWELEM,0.0137,177000000000000.0,7.72e-17,1.0,-348000000000000.0,348000000000000.0
