,coef,std err,z,P>|z|,[0.025,0.975]
OtherCMsSameCoachNoMissing,-0.2582,0.131,-1.966,0.049,-0.515,-0.001
CommAndPresNoMissing,-0.1579,0.099,-1.588,0.11199999999999999,-0.353,0.037000000000000005
OtherCMsPrevCoachNoMissing,0.238,0.152,1.5659999999999998,0.11699999999999999,-0.06,0.536
RegPrefLevNoMissing,0.3677,0.289,1.27,0.204,-0.2,0.935
AvgRentNoMissing,-0.8959,0.7170000000000001,-1.25,0.21100000000000002,-2.301,0.509
YearsPartnerPartnerNoMissing,0.1254,0.111,1.133,0.257,-0.092,0.342
RentPropNoMissing,0.6446,0.602,1.07,0.284,-0.536,1.825
CumuGPANoMissing,-0.0756,0.087,-0.8690000000000001,0.385,-0.24600000000000002,0.095
FinalAchievementNoMissing,0.1489,0.17300000000000001,0.861,0.389,-0.19,0.488
AgeAtFDOSNoMissing,0.1066,0.128,0.831,0.406,-0.145,0.358
CorpsSizeNoMissing,-0.1804,0.24600000000000002,-0.732,0.46399999999999997,-0.6629999999999999,0.302
CMProspectRatingNoMissing,0.1231,0.182,0.6759999999999999,0.499,-0.23399999999999999,0.48
AvgFirstMonthSalNoMissing,0.2592,0.392,0.662,0.508,-0.508,1.0270000000000001
YearsAsCoach,-0.1007,0.16,-0.629,0.529,-0.414,0.213
YearsSchoolPartnerNoMissing,-0.0535,0.092,-0.584,0.5589999999999999,-0.233,0.126
RelationshipBuildingNoMissing,-0.0912,0.161,-0.5670000000000001,0.5710000000000001,-0.40700000000000003,0.22399999999999998
CSI6NoMissing,-0.0715,0.18100000000000002,-0.39399999999999996,0.6940000000000001,-0.42700000000000005,0.284
DaysTSubmitNoMissing,-0.0703,0.191,-0.36700000000000005,0.713,-0.446,0.305
FRPLNoMissing,-0.03,0.114,-0.264,0.792,-0.253,0.193
SchoolSelectivityNoMissing,-0.068,0.32299999999999995,-0.21,0.833,-0.701,0.565
CLI6NoMissing,-0.3532,2.354,-0.15,0.8809999999999999,-4.966,4.26
CLI8NoMissing,0.1058,0.867,0.122,0.903,-1.594,1.806
CSI12NoMissing,-0.14,1.151,-0.122,0.903,-2.396,2.116
CSI3NoMissing,-0.037,0.327,-0.113,0.91,-0.6779999999999999,0.604
GenderMale,0.3578,7.641,0.047,0.963,-14.618,15.333
PerseveranceNoMissing,-0.035,1.043,-0.034,0.973,-2.079,2.009
CSI5NoMissing,-0.0176,0.8959999999999999,-0.02,0.9840000000000001,-1.7730000000000001,1.7380000000000002
CMsInSchoolNoMissing,-0.0022,0.134,-0.016,0.987,-0.264,0.26
GenderFemale,0.0504,7.4910000000000005,0.006999999999999999,0.995,-14.632,14.732999999999999
FitNoMissing,-0.0029,0.568,-0.005,0.996,-1.115,1.11
CertProgramCostNoMissing,-0.0009,0.171,-0.005,0.996,-0.336,0.335
PredModelScoreNoMissing,-0.0022,0.495,-0.004,0.997,-0.973,0.9690000000000001
School_Other,1.2631,53600000000000.0,2.35e-14,1.0,-105000000000000.0,105000000000000.0
School_Public,-0.6408,53600000000000.0,-1.19e-14,1.0,-105000000000000.0,105000000000000.0
School_Charter,-0.2612,53600000000000.0,-4.870000000000001e-15,1.0,-105000000000000.0,105000000000000.0
Grade_Unknown,-0.4614,129000000000000.0,-3.57e-15,1.0,-254000000000000.0,254000000000000.0
Title1No,0.0284,98100000000000.0,2.9e-16,1.0,-192000000000000.0,192000000000000.0
Grade_MIDDLE,0.1609,129000000000000.0,1.24e-15,1.0,-254000000000000.0,254000000000000.0
Grade_LOWELEM,0.1088,129000000000000.0,8.410000000000001e-16,1.0,-254000000000000.0,254000000000000.0
Grade_HIGH,0.1213,129000000000000.0,9.38e-16,1.0,-254000000000000.0,254000000000000.0
Grade_ECE,0.1351,129000000000000.0,1.04e-15,1.0,-254000000000000.0,254000000000000.0
Title1Yes,0.3328,98100000000000.0,3.39e-15,1.0,-192000000000000.0,192000000000000.0
LGB_NoProtect,0.5743,78800000000000.0,7.290000000000001e-15,1.0,-154000000000000.0,154000000000000.0
Grade_UPPERELEM,0.2964,129000000000000.0,2.2899999999999997e-15,1.0,-254000000000000.0,254000000000000.0
LGB_LocalProtect,-0.0656,78800000000000.0,-8.32e-16,1.0,-154000000000000.0,154000000000000.0
MajorTeaching_Mismatch,0.2721,11800000000000.0,2.31e-14,1.0,-23100000000000.0,23100000000000.0
TeacherPP_No,0.3747,120000000000000.0,3.13e-15,1.0,-234000000000000.0,234000000000000.0
TeacherPP_Yes,-0.0135,120000000000000.0,-1.1299999999999999e-16,1.0,-234000000000000.0,234000000000000.0
Region_Large,0.2377,44600000000000.0,5.3299999999999994e-15,1.0,-87400000000000.0,87400000000000.0
Region_Medium,0.2266,44600000000000.0,5.08e-15,1.0,-87400000000000.0,87400000000000.0
Region_Small,-0.1031,44600000000000.0,-2.31e-15,1.0,-87400000000000.0,87400000000000.0
Urbanicity_Both,0.2393,54100000000000.0,4.42e-15,1.0,-106000000000000.0,106000000000000.0
Urbanicity_Rural,-0.5446,54100000000000.0,-1.01e-14,1.0,-106000000000000.0,106000000000000.0
Urbanicity_Urban,0.6664,54100000000000.0,1.23e-14,1.0,-106000000000000.0,106000000000000.0
COL_High,0.4285,4780000000000.0,8.96e-14,1.0,-9370000000000.0,9370000000000.0
COL_Low,0.1043,4780000000000.0,2.18e-14,1.0,-9370000000000.0,9370000000000.0
COL_Medium,-0.1717,4780000000000.0,-3.59e-14,1.0,-9370000000000.0,9370000000000.0
MajorTeaching_Match,0.0891,11800000000000.0,7.56e-15,1.0,-23100000000000.0,23100000000000.0
DeferralNotRequested,-0.0778,42100000000000.0,-1.85e-15,1.0,-82500000000000.0,82500000000000.0
LGB_StateProtect,-0.1476,78800000000000.0,-1.87e-15,1.0,-154000000000000.0,154000000000000.0
DeferralRequested,0.4389,42100000000000.0,1.04e-14,1.0,-82500000000000.0,82500000000000.0
AttendLIC_HS_No,0.2915,89500000000000.0,3.26e-15,1.0,-175000000000000.0,175000000000000.0
VarsitySport_No_Or_Unknown,0.1516,80300000000000.0,1.89e-15,1.0,-157000000000000.0,157000000000000.0
K12TeachNo,0.3292,160000000000000.0,2.06e-15,1.0,-313000000000000.0,313000000000000.0
K12TeachYes,0.1831,160000000000000.0,1.15e-15,1.0,-313000000000000.0,313000000000000.0
K12TeachNull,0.1915,160000000000000.0,1.2e-15,1.0,-313000000000000.0,313000000000000.0
HadFamRespNo,-0.6087,54100000000000.0,-1.13e-14,1.0,-106000000000000.0,106000000000000.0
HadFamRespYes,-0.6315,54100000000000.0,-1.17e-14,1.0,-106000000000000.0,106000000000000.0
HadFamRespNull,-0.3474,54100000000000.0,-6.42e-15,1.0,-106000000000000.0,106000000000000.0
PellGrantNoOrMissing,0.028,64100000000000.0,4.37e-16,1.0,-126000000000000.0,126000000000000.0
PellGrantYes,-0.0172,64100000000000.0,-2.68e-16,1.0,-126000000000000.0,126000000000000.0
CalcGradStudent,0.67,214000000000000.0,3.1399999999999997e-15,1.0,-419000000000000.0,419000000000000.0
CalcJunior,0.4999,214000000000000.0,2.3399999999999998e-15,1.0,-419000000000000.0,419000000000000.0
CalcProfessional,0.6084,214000000000000.0,2.85e-15,1.0,-419000000000000.0,419000000000000.0
CalcUndergrad,0.7944,214000000000000.0,3.7200000000000005e-15,1.0,-419000000000000.0,419000000000000.0
CalcUnknown,1.3412,214000000000000.0,6.2799999999999995e-15,1.0,-419000000000000.0,419000000000000.0
MajorOffered_Match,0.1317,2310000.0,5.6900000000000007e-08,1.0,-4530000.0,4530000.0
AttendLIC_HS_Yes,0.1598,89500000000000.0,1.79e-15,1.0,-175000000000000.0,175000000000000.0
AttendLIC_HS_Unknown,-0.0902,89500000000000.0,-1.01e-15,1.0,-175000000000000.0,175000000000000.0
GrewUpLIC_No_Or_Unknown,0.0878,77400000000000.0,1.13e-15,1.0,-152000000000000.0,152000000000000.0
GrewUpLIC_Yes,0.2734,77400000000000.0,3.5299999999999998e-15,1.0,-152000000000000.0,152000000000000.0
LIC_Served_No_Or_Unknown,0.1873,121000000000000.0,1.55e-15,1.0,-238000000000000.0,238000000000000.0
LIC_Served_Yes,0.1738,121000000000000.0,1.4300000000000002e-15,1.0,-238000000000000.0,238000000000000.0
Eth_Black,-0.1569,139000000000000.0,-1.13e-15,1.0,-272000000000000.0,272000000000000.0
Eth_Native,-1.1283,139000000000000.0,-8.129999999999999e-15,1.0,-272000000000000.0,272000000000000.0
Eth_AsianAmPacIsl,0.6488,139000000000000.0,4.6799999999999995e-15,1.0,-272000000000000.0,272000000000000.0
Eth_Latinx,0.2653,139000000000000.0,1.9100000000000003e-15,1.0,-272000000000000.0,272000000000000.0
Eth_MultiEthMultiRacial,0.0611,139000000000000.0,4.4000000000000005e-16,1.0,-272000000000000.0,272000000000000.0
Eth_OtherOrUnknown,0.3959,139000000000000.0,2.85e-15,1.0,-272000000000000.0,272000000000000.0
Eth_White,0.2754,139000000000000.0,1.99e-15,1.0,-272000000000000.0,272000000000000.0
VarsitySport_Yes,0.2096,80300000000000.0,2.6100000000000002e-15,1.0,-157000000000000.0,157000000000000.0
MajorOffered_Mismatch,0.2295,5560000.0,4.13e-08,1.0,-10900000.0,10900000.0
