,Feature Importance
AgeAtFDOSNoMissing,0.045907249
PredModelScoreNoMissing,0.039296199
FinalAchievementNoMissing,0.036940473
CumuGPANoMissing,0.036449826
CorpsSizeNoMissing,0.034149001
DaysTSubmitNoMissing,0.034085237
OtherCMsSameCoachNoMissing,0.033906689
FRPLNoMissing,0.029480824
YearsPartnerPartnerNoMissing,0.028915936
YearsSchoolPartnerNoMissing,0.027758383
CertProgramCostNoMissing,0.025097469
AvgFirstMonthSalNoMissing,0.024637704
RentPropNoMissing,0.024415479
OtherCMsPrevCoachNoMissing,0.024351917
RelationshipBuildingNoMissing,0.02378611
CMProspectRatingNoMissing,0.022672819
AvgRentNoMissing,0.022241828
CMsInSchoolNoMissing,0.021787367
CommAndPresNoMissing,0.020094979
CSI12NoMissing,0.018376605
CSI5NoMissing,0.018269232
FitNoMissing,0.018062276
FirstYearsInSchoolNoMissing,0.017400001
PerseveranceNoMissing,0.016957657
CSI3NoMissing,0.016916878
SecondYearsInSchoolNoMissing,0.01525563
CLI8NoMissing,0.014870811
YearsAsCoach,0.014564922
CSI6NoMissing,0.014488029
SchoolSelectivityNoMissing,0.013718642
CLI6NoMissing,0.012914865
School_Public,0.007049814
Grade_UPPERELEM,0.006176799
Grade_HIGH,0.005958827
School_Charter,0.005735501
RegPrefLevNoMissing,0.005547343
Grade_MIDDLE,0.00551385
PellGrantNoOrMissing,0.005472451
K12TeachNull,0.005457618
PellGrantYes,0.005451607
CalcUndergrad,0.00545096
GenderMale,0.005431569
Eth_White,0.005429361
GenderFemale,0.005327945
MajorTeaching_Match,0.005150629
MajorOffered_Mismatch,0.005136001
HadFamRespNo,0.005091254
MajorOffered_Match,0.005080723
MajorTeaching_Mismatch,0.005057124
AttendLIC_HS_Yes,0.005027467
Eth_Black,0.004959513
CalcProfessional,0.004914551
K12TeachNo,0.004807682
GrewUpLIC_No_Or_Unknown,0.004727521
AttendLIC_HS_No,0.004691108
LIC_Served_No_Or_Unknown,0.004594967
GrewUpLIC_Yes,0.004574725
HadFamRespYes,0.004522255
LIC_Served_Yes,0.004493765
Region_Large,0.004477219
Grade_LOWELEM,0.004394742
Region_Medium,0.004376891
Title1No,0.004356818
Title1Yes,0.004243373
LGB_NoProtect,0.004233803
LGB_LocalProtect,0.004148991
COL_Low,0.004126318
COL_Medium,0.004038192
LGB_StateProtect,0.003965976
TeacherPP_Yes,0.003909838
TeacherPP_No,0.00389869
Eth_Latinx,0.003801768
Urbanicity_Urban,0.003772477
Urbanicity_Both,0.003698594
CalcJunior,0.003528071
VarsitySport_Yes,0.003525557
Eth_AsianAmPacIsl,0.0033954
COL_High,0.003345861
VarsitySport_No_Or_Unknown,0.003252962
School_Other,0.002819376
Eth_MultiEthMultiRacial,0.002818248
Region_Small,0.002494444
CalcGradStudent,0.002442687
HadFamRespNull,0.00242661
Urbanicity_Rural,0.002352095
Eth_OtherOrUnknown,0.002139838
DeferralNotRequested,0.001860721
DeferralRequested,0.001777381
AttendLIC_HS_Unknown,0.00171947
K12TeachYes,0.001438443
Grade_Unknown,0.00120505
Grade_ECE,0.00068324
Eth_Native,0.000505661
CalcUnknown,0.000221226
