,Feature Importance
AgeAtFDOSNoMissing,0.045469643244151085
CumuGPANoMissing,0.03789611548519768
FinalAchievementNoMissing,0.037030558699893676
PredModelScoreNoMissing,0.03683992761871829
RentPropNoMissing,0.03535245927114346
DaysTSubmitNoMissing,0.03534013135206343
CLI8NoMissing,0.03528240539734827
YearsPartnerPartnerNoMissing,0.028451541625209856
CSI5NoMissing,0.028291047066390542
FRPLNoMissing,0.027971212067871717
CLI6NoMissing,0.02766651384468184
CMProspectRatingNoMissing,0.026374786669033715
CertProgramCostNoMissing,0.02568610461369335
RelationshipBuildingNoMissing,0.0252662757285057
SecondYearsInSchoolNoMissing,0.025215970136211654
CMsInSchoolNoMissing,0.02497203559773051
YearsSchoolPartnerNoMissing,0.024693817472892038
AvgFirstMonthSalNoMissing,0.0242265239450097
FirstYearsInSchoolNoMissing,0.023463299429420766
CommAndPresNoMissing,0.021440421117786105
FitNoMissing,0.02047149105913164
CorpsSizeNoMissing,0.018713045917498488
CSI6NoMissing,0.01763433046175628
RegPrefLevNoMissing,0.017257584643000323
PerseveranceNoMissing,0.016584580264012137
YearsAsCoach,0.015584169339478818
SchoolSelectivityNoMissing,0.01377380452848285
CSI3NoMissing,0.013065006930896402
CSI12NoMissing,0.010085264242636748
Grade_Unknown,0.007058399430813666
AvgRentNoMissing,0.006071940732642144
LIC_Served_No_Or_Unknown,0.005977394266035745
PellGrantNoOrMissing,0.005776023571466148
Eth_MultiEthMultiRacial,0.005654110793561012
PellGrantYes,0.005574902843330569
Grade_LOWELEM,0.005509639667931617
CalcJunior,0.005490628524061416
Grade_UPPERELEM,0.0054766193186796645
Title1Yes,0.005435082286515817
MajorTeaching_Match,0.00536182909030643
COL_Medium,0.0053330672118475034
Grade_HIGH,0.005252346144664734
LGB_NoProtect,0.005227952461153706
MajorTeaching_Mismatch,0.005170895752811696
TeacherPP_Yes,0.005158730213470372
COL_Low,0.00515397588647529
CalcGradStudent,0.005108717621636649
OtherCMsSameCoachNoMissing,0.005087515130087958
Grade_ECE,0.005020743874903377
CalcUndergrad,0.0050197253829163315
School_Public,0.005015659448291508
HadFamRespYes,0.00499134453681244
HadFamRespNull,0.004923948833098183
K12TeachNo,0.004901216655739304
CalcUnknown,0.0048500680864340725
AttendLIC_HS_Yes,0.004815182707180621
AttendLIC_HS_Unknown,0.004804128115783867
COL_High,0.0048005332103265
Eth_Native,0.004658012127052934
DeferralNotRequested,0.004654349859208921
GrewUpLIC_Yes,0.004633872404735828
TeacherPP_No,0.004572367063909542
DeferralRequested,0.004566562868149985
GrewUpLIC_No_Or_Unknown,0.0045535144697624345
K12TeachYes,0.004463377515551198
School_Other,0.004431033353573167
GenderMale,0.004324497315391815
School_Charter,0.004260392832377513
LGB_StateProtect,0.004087695109582071
LGB_LocalProtect,0.003992905807463425
K12TeachNull,0.0039747167443429324
Urbanicity_Both,0.003960225800233384
Urbanicity_Urban,0.003936968670198634
Eth_Black,0.0039021070656730626
Region_Medium,0.0033766811255660596
Eth_OtherOrUnknown,0.0033727321069952796
Eth_White,0.0031768760614517212
Urbanicity_Rural,0.0031566218572993006
Eth_AsianAmPacIsl,0.0030458882955662816
Region_Large,0.0030392013860639487
GenderFemale,0.002547842024904939
HadFamRespNo,0.00235728009038309
Eth_Latinx,0.002043205641928039
Region_Small,0.002026205067851029
VarsitySport_No_Or_Unknown,0.0017737845497148522
VarsitySport_Yes,0.0017299235624709886
Grade_MIDDLE,0.0014794333094338007
AttendLIC_HS_No,0.001398923142684137
OtherCMsPrevCoachNoMissing,0.0008846492391297386
LIC_Served_Yes,0.0006502968364217951
Title1No,0.0006023740552263982
CalcProfessional,0.00024309307087642197
